"ProcessId","ParentProcessId","CommandLine"
"12676","10300","""C:\Program Files (x86)\Microsoft\EdgeWebView\Application\151.0.4129.107\msedgewebview2.exe"" --type=utility --utility-sub-type=storage.mojom.StorageService --lang=zh-CN --service-sandbox-type=service --noerrdialogs --user-agent=""Mozilla/5.0 (Windows NT 10.0; Win64; x64; Cortana 1.18.9.23723; 10.0.0.0.26200.9168) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.102 Safari/537.36 Edge/18.26200 IsWebView2/True (WebView2Version 151.0.4129.107)"" --user-data-dir=""C:\Users\liuqi\AppData\Local\Packages\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\LocalState\EBWebView"" --webview-exe-name=SearchHost.exe --webview-exe-version=2606.30004.100.0 --embedded-browser-webview=1 --always-read-main-dll --metrics-shmem-handle=2436,i,4857843896090422354,7038503049119934332,524288 --field-trial-handle=2072,i,7920054274305351473,6091783177078901645,262144 --enable-features=msEdgeFluentOverlayScrollbar --disable-features=msSmartScreenProtection --variations-seed-version --pseudonymization-salt-handle=2080,i,5968222013923878143,16069199171708464933,4 --trace-process-track-uuid=3190708990060038890 --mojo-platform-channel-handle=2588 /prefetch:13 /pfhostedapp:f964ac8cc2515d512df413858e889bbd4cb7528f"
"12804","11168","""C:\Program Files (x86)\Microsoft\EdgeWebView\Application\151.0.4129.107\msedgewebview2.exe"" --type=renderer --noerrdialogs --user-data-dir=""C:\Users\liuqi\AppData\Local\com.seelen.seelen-ui\gpu\EBWebView"" --webview-exe-name=seelen-ui.exe --webview-exe-version=2.8.2 --embedded-browser-webview=1 --embedded-browser-webview-dpi-awareness=2 --disable-background-timer-throttling --disable-breakpad --video-capture-use-gpu-memory-buffer --lang=zh-CN --js-flags=--expose-gc --device-scale-factor=1.25 --num-raster-threads=4 --enable-zero-copy --enable-main-frame-before-activation --renderer-client-id=6 --time-ticks-at-unix-epoch=-1788320758826560 --launch-time-ticks=25435426 --skip-read-main-dll --metrics-shmem-handle=4524,i,6745141060029669150,1404425004250690314,2097152 --field-trial-handle=1960,i,7892273521266639277,8575744208343445000,262144 --disable-features=AutofillServerCommunication,BackForwardCache,CalculateNativeWinOcclusion,InterestCohort,OptimizationHints,PaintHolding,RendererAppContainer,SharedArrayBuffer,msPdfOOUI,msSmartScreenProtection,msWebOOUI,translate --variations-seed-version --pseudonymization-salt-handle=1988,i,9591194472316384776,7426541832340710967,4 --trace-process-track-uuid=3190708991934122588 --mojo-platform-channel-handle=4496 /pfhostedapp:fc7a61aed1b6215981908be0a3e2756b6d1ceb4b /prefetch:1"
"13116","10300","""C:\Program Files (x86)\Microsoft\EdgeWebView\Application\151.0.4129.107\msedgewebview2.exe"" --type=renderer --noerrdialogs --user-agent=""Mozilla/5.0 (Windows NT 10.0; Win64; x64; Cortana 1.18.9.23723; 10.0.0.0.26200.9168) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.102 Safari/537.36 Edge/18.26200 IsWebView2/True (WebView2Version 151.0.4129.107)"" --user-data-dir=""C:\Users\liuqi\AppData\Local\Packages\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\LocalState\EBWebView"" --webview-exe-name=SearchHost.exe --webview-exe-version=2606.30004.100.0 --embedded-browser-webview=1 --video-capture-use-gpu-memory-buffer --lang=zh-CN --js-flags=--expose-gc --device-scale-factor=1.25 --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=5 --time-ticks-at-unix-epoch=-1788320758826559 --launch-time-ticks=25513550 --always-read-main-dll --metrics-shmem-handle=4036,i,4788549591556029912,14652286004026304729,2097152 --field-trial-handle=2072,i,7920054274305351473,6091783177078901645,262144 --enable-features=msEdgeFluentOverlayScrollbar --disable-features=msSmartScreenProtection --variations-seed-version --pseudonymization-salt-handle=2080,i,5968222013923878143,16069199171708464933,4 --trace-process-track-uuid=3190708990997080739 --mojo-platform-channel-handle=3852 /pfhostedapp:f964ac8cc2515d512df413858e889bbd4cb7528f /prefetch:1"
"13448","11168","""C:\Program Files (x86)\Microsoft\EdgeWebView\Application\151.0.4129.107\msedgewebview2.exe"" --type=renderer --noerrdialogs --user-data-dir=""C:\Users\liuqi\AppData\Local\com.seelen.seelen-ui\gpu\EBWebView"" --webview-exe-name=seelen-ui.exe --webview-exe-version=2.8.2 --embedded-browser-webview=1 --embedded-browser-webview-dpi-awareness=2 --disable-background-timer-throttling --disable-breakpad --video-capture-use-gpu-memory-buffer --lang=zh-CN --js-flags=--expose-gc --device-scale-factor=1.25 --num-raster-threads=4 --enable-zero-copy --enable-main-frame-before-activation --renderer-client-id=7 --time-ticks-at-unix-epoch=-1788320758826560 --launch-time-ticks=25676759 --skip-read-main-dll --metrics-shmem-handle=4704,i,6531957378358506391,12031587098448733094,2097152 --field-trial-handle=1960,i,7892273521266639277,8575744208343445000,262144 --disable-features=AutofillServerCommunication,BackForwardCache,CalculateNativeWinOcclusion,InterestCohort,OptimizationHints,PaintHolding,RendererAppContainer,SharedArrayBuffer,msPdfOOUI,msSmartScreenProtection,msWebOOUI,translate --variations-seed-version --pseudonymization-salt-handle=1988,i,9591194472316384776,7426541832340710967,4 --trace-process-track-uuid=3190708992871164437 --mojo-platform-channel-handle=4468 /pfhostedapp:fc7a61aed1b6215981908be0a3e2756b6d1ceb4b /prefetch:1"
"13808","11168","""C:\Program Files (x86)\Microsoft\EdgeWebView\Application\151.0.4129.107\msedgewebview2.exe"" --type=renderer --noerrdialogs --user-data-dir=""C:\Users\liuqi\AppData\Local\com.seelen.seelen-ui\gpu\EBWebView"" --webview-exe-name=seelen-ui.exe --webview-exe-version=2.8.2 --embedded-browser-webview=1 --embedded-browser-webview-dpi-awareness=2 --disable-background-timer-throttling --disable-breakpad --video-capture-use-gpu-memory-buffer --lang=zh-CN --js-flags=--expose-gc --device-scale-factor=1.25 --num-raster-threads=4 --enable-zero-copy --enable-main-frame-before-activation --renderer-client-id=8 --time-ticks-at-unix-epoch=-1788320758826560 --launch-time-ticks=25846801 --skip-read-main-dll --metrics-shmem-handle=4928,i,14503759422338700321,7519394233911235237,2097152 --field-trial-handle=1960,i,7892273521266639277,8575744208343445000,262144 --disable-features=AutofillServerCommunication,BackForwardCache,CalculateNativeWinOcclusion,InterestCohort,OptimizationHints,PaintHolding,RendererAppContainer,SharedArrayBuffer,msPdfOOUI,msSmartScreenProtection,msWebOOUI,translate --variations-seed-version --pseudonymization-salt-handle=1988,i,9591194472316384776,7426541832340710967,4 --trace-process-track-uuid=3190708993808206286 --mojo-platform-channel-handle=5008 /pfhostedapp:fc7a61aed1b6215981908be0a3e2756b6d1ceb4b /prefetch:1"
"14020","11168","""C:\Program Files (x86)\Microsoft\EdgeWebView\Application\151.0.4129.107\msedgewebview2.exe"" --type=renderer --noerrdialogs --user-data-dir=""C:\Users\liuqi\AppData\Local\com.seelen.seelen-ui\gpu\EBWebView"" --webview-exe-name=seelen-ui.exe --webview-exe-version=2.8.2 --embedded-browser-webview=1 --embedded-browser-webview-dpi-awareness=2 --disable-background-timer-throttling --disable-breakpad --video-capture-use-gpu-memory-buffer --lang=zh-CN --js-flags=--expose-gc --device-scale-factor=1.25 --num-raster-threads=4 --enable-zero-copy --enable-main-frame-before-activation --renderer-client-id=9 --time-ticks-at-unix-epoch=-1788320758826560 --launch-time-ticks=25993229 --skip-read-main-dll --metrics-shmem-handle=4544,i,9888914688007962832,698508464234249146,2097152 --field-trial-handle=1960,i,7892273521266639277,8575744208343445000,262144 --disable-features=AutofillServerCommunication,BackForwardCache,CalculateNativeWinOcclusion,InterestCohort,OptimizationHints,PaintHolding,RendererAppContainer,SharedArrayBuffer,msPdfOOUI,msSmartScreenProtection,msWebOOUI,translate --variations-seed-version --pseudonymization-salt-handle=1988,i,9591194472316384776,7426541832340710967,4 --trace-process-track-uuid=3190708994745248135 --mojo-platform-channel-handle=5104 /pfhostedapp:fc7a61aed1b6215981908be0a3e2756b6d1ceb4b /prefetch:1"
"14136","11168","""C:\Program Files (x86)\Microsoft\EdgeWebView\Application\151.0.4129.107\msedgewebview2.exe"" --type=renderer --noerrdialogs --user-data-dir=""C:\Users\liuqi\AppData\Local\com.seelen.seelen-ui\gpu\EBWebView"" --webview-exe-name=seelen-ui.exe --webview-exe-version=2.8.2 --embedded-browser-webview=1 --embedded-browser-webview-dpi-awareness=2 --disable-background-timer-throttling --disable-breakpad --video-capture-use-gpu-memory-buffer --lang=zh-CN --js-flags=--expose-gc --device-scale-factor=1.25 --num-raster-threads=4 --enable-zero-copy --enable-main-frame-before-activation --renderer-client-id=10 --time-ticks-at-unix-epoch=-1788320758826560 --launch-time-ticks=26120441 --skip-read-main-dll --metrics-shmem-handle=5188,i,17288751981009391378,6565430534448775995,2097152 --field-trial-handle=1960,i,7892273521266639277,8575744208343445000,262144 --disable-features=AutofillServerCommunication,BackForwardCache,CalculateNativeWinOcclusion,InterestCohort,OptimizationHints,PaintHolding,RendererAppContainer,SharedArrayBuffer,msPdfOOUI,msSmartScreenProtection,msWebOOUI,translate --variations-seed-version --pseudonymization-salt-handle=1988,i,9591194472316384776,7426541832340710967,4 --trace-process-track-uuid=3190708995682289984 --mojo-platform-channel-handle=5216 /pfhostedapp:fc7a61aed1b6215981908be0a3e2756b6d1ceb4b /prefetch:1"
"15228","6340","""C:\Program Files (x86)\Microsoft\EdgeWebView\Application\151.0.4129.107\msedgewebview2.exe"" --embedded-browser-webview=1 --webview-exe-name=snowshot.exe --webview-exe-version=0.7.8-beta --user-data-dir=""C:\Users\liuqi\AppData\Local\com.chao.snowshot\EBWebView"" --noerrdialogs --embedded-browser-webview-dpi-awareness=2 --autoplay-policy=no-user-gesture-required --disable-features=msWebOOUI,msPdfOOUI,msSmartScreenProtection --lang=zh-CN --mojo-named-platform-channel-pipe=6340.15220.6203843429302250206 /pfhostedapp:4e19f0868586f7aa02a47465eafb6e19e1a696a1"
"15256","15228","""C:\Program Files (x86)\Microsoft\EdgeWebView\Application\151.0.4129.107\msedgewebview2.exe"" --type=crashpad-handler --user-data-dir=C:\Users\liuqi\AppData\Local\com.chao.snowshot\EBWebView /prefetch:4 /pfhostedapp:4e19f0868586f7aa02a47465eafb6e19e1a696a1 --monitor-self-annotation=ptype=crashpad-handler --database=C:\Users\liuqi\AppData\Local\com.chao.snowshot\EBWebView\Crashpad --annotation=IsOfficialBuild=1 --annotation=channel= --annotation=chromium-version=151.0.7922.174 ""--annotation=exe=C:\Program Files (x86)\Microsoft\EdgeWebView\Application\151.0.4129.107\msedgewebview2.exe"" --annotation=plat=Win64 ""--annotation=prod=Edge WebView2"" --annotation=ver=151.0.4129.107 --initial-client-data=0x188,0x18c,0x190,0x164,0x120,0x7ffd1dbb65f0,0x7ffd1dbb6600,0x7ffd1dbb6610"
"9720","15228","""C:\Program Files (x86)\Microsoft\EdgeWebView\Application\151.0.4129.107\msedgewebview2.exe"" --type=gpu-process --noerrdialogs --user-data-dir=""C:\Users\liuqi\AppData\Local\com.chao.snowshot\EBWebView"" --webview-exe-name=snowshot.exe --webview-exe-version=0.7.8-beta --embedded-browser-webview=1 --embedded-browser-webview-dpi-awareness=2 --gpu-preferences=WAAAAAAAAADgAAAEAAAAAAAAAAAAAGAAQAAAAAAAAAADAAAAAAAAADgAAAAAAAAAAAAAAAAAAAACAAAAAAAAAAAAAAAAAAAAKAAAAAAAAAAoAAAAAAAAAAgAAAAAAAAAEAAAAAIAAAABAAAAAAAAAAgAAAAAAAAACAAAAAAAAAA= --startup-read-main-dll --metrics-shmem-handle=1880,i,8866577225820344945,16418645443984243692,262144 --field-trial-handle=1976,i,17172381932618029303,1330451571599135310,262144 --disable-features=msPdfOOUI,msSmartScreenProtection,msWebOOUI --variations-seed-version --pseudonymization-salt-handle=1992,i,11794626409592694534,15745939651447811641,4 --trace-process-track-uuid=3190708988185955192 --mojo-platform-channel-handle=1972 /prefetch:2 /pfhostedapp:4e19f0868586f7aa02a47465eafb6e19e1a696a1"
